NO_OF_FRAMES	3000
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-28, 17:16:30.991	1829317.80032220
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
94	0.93000	-2.86835	-2.74145	13.56701	-178.89220	1.19962	-86.42543	0.39493	0.06233	0.99784	0.02060	0.99784	-0.06274	0.01969	0.02094	0.01933	-0.99959	
95	0.94000	-2.83717	-2.76296	13.61331	-178.80235	1.19884	-86.42036	0.38923	0.06242	0.99780	0.02217	0.99783	-0.06286	0.01957	0.02092	0.02090	-0.99956	
96	0.95000	-2.83690	-2.77265	13.59475	-178.84683	1.16150	-86.42562	0.37284	0.06233	0.99783	0.02135	0.99785	-0.06274	0.01897	0.02027	0.02012	-0.99959	
97	0.96000	-2.83722	-2.76375	13.55233	-178.92824	1.17733	-86.42352	0.34426	0.06237	0.99785	0.01995	0.99784	-0.06275	0.01934	0.02055	0.01870	-0.99961	
98	0.97000	-2.88146	-2.75867	13.54519	-178.88997	1.18788	-86.43896	0.39283	0.06210	0.99786	0.02062	0.99785	-0.06250	0.01948	0.02073	0.01937	-0.99960	
99	0.98000	-2.85772	-2.76355	13.62646	-178.79152	1.22144	-86.42535	0.38729	0.06233	0.99780	0.02238	0.99783	-0.06278	0.01996	0.02132	0.02109	-0.99955	
100	0.99000	-2.83832	-2.76952	13.62556	-178.83952	1.17400	-86.42020	0.38804	0.06243	0.99782	0.02149	0.99784	-0.06284	0.01918	0.02049	0.02025	-0.99959	
101	1.00000	-2.84734	-2.75799	13.56666	-178.92731	1.17287	-86.41721	0.37703	0.06248	0.99785	0.01996	0.99784	-0.06286	0.01926	0.02047	0.01872	-0.99962	
102	1.01000	-2.86818	-2.75654	13.56033	-178.90839	1.19316	-86.43644	0.36973	0.06214	0.99786	0.02031	0.99785	-0.06254	0.01959	0.02082	0.01905	-0.99960	
103	1.02000	-2.83845	-2.78302	13.61356	-178.80360	1.26536	-86.40731	0.44091	0.06265	0.99779	0.02222	0.99779	-0.06311	0.02073	0.02208	0.02087	-0.99954	
104	1.03000	-2.84211	-2.75976	13.66179	-178.83615	1.15628	-86.42863	0.38627	0.06228	0.99783	0.02153	0.99785	-0.06269	0.01887	0.02018	0.02031	-0.99959	
105	1.04000	-2.83376	-2.76230	13.57849	-178.87422	1.19475	-86.41791	0.36721	0.06247	0.99783	0.02091	0.99783	-0.06288	0.01958	0.02085	0.01964	-0.99959	
106	1.05000	-2.85264	-2.76932	13.56153	-178.92191	1.15581	-86.43407	0.37124	0.06218	0.99786	0.02003	0.99786	-0.06256	0.01896	0.02017	0.01881	-0.99962	
107	1.06000	-2.85757	-2.76686	13.61136	-178.83430	1.19673	-86.43089	0.38673	0.06224	0.99783	0.02160	0.99784	-0.06266	0.01957	0.02089	0.02034	-0.99957	
108	1.07000	-2.83363	-2.79368	13.69726	-178.70996	1.21149	-86.40157	0.37519	0.06275	0.99775	0.02380	0.99781	-0.06322	0.01968	0.02114	0.02251	-0.99952	
109	1.08000	-2.84338	-2.75785	13.58264	-178.86757	1.18387	-86.41842	0.37879	0.06246	0.99783	0.02102	0.99783	-0.06287	0.01938	0.02066	0.01976	-0.99959	
110	1.09000	-2.85924	-2.76610	13.55323	-178.94582	1.17102	-86.42850	0.38912	0.06228	0.99787	0.01963	0.99785	-0.06266	0.01925	0.02044	0.01839	-0.99962	
111	1.10000	-2.86704	-2.75922	13.60510	-178.85010	1.19616	-86.44489	0.41050	0.06200	0.99785	0.02132	0.99786	-0.06241	0.01959	0.02088	0.02006	-0.99958	
112	1.11000	-2.85857	-2.77693	13.65315	-178.77644	1.21724	-86.40512	0.46189	0.06269	0.99778	0.02264	0.99781	-0.06314	0.01986	0.02124	0.02135	-0.99955	
113	1.12000	-2.85441	-2.77655	13.62231	-178.84566	1.21192	-86.40643	0.37168	0.06266	0.99780	0.02143	0.99781	-0.06309	0.01984	0.02115	0.02014	-0.99957	
114	1.13000	-2.84709	-2.77644	13.57284	-178.91589	1.16293	-86.43227	0.36144	0.06222	0.99786	0.02015	0.99786	-0.06260	0.01908	0.02030	0.01892	-0.99962	
115	1.14000	-2.85363	-2.80851	13.60823	-178.85786	1.23581	-86.39611	0.43147	0.06284	0.99780	0.02125	0.99779	-0.06327	0.02027	0.02157	0.01993	-0.99957	
116	1.15000	-2.83131	-2.81147	13.67453	-178.74632	1.25549	-86.39884	0.45310	0.06280	0.99776	0.02321	0.99779	-0.06327	0.02049	0.02191	0.02187	-0.99952	
117	1.16000	-2.84629	-2.77264	13.65848	-178.84172	1.20336	-86.42867	0.39991	0.06228	0.99783	0.02148	0.99784	-0.06270	0.01970	0.02100	0.02021	-0.99958	
118	1.17000	-2.85523	-2.74388	13.57014	-178.91071	1.20471	-86.42286	0.37781	0.06238	0.99785	0.02029	0.99783	-0.06278	0.01979	0.02102	0.01901	-0.99960	
119	1.18000	-2.86491	-2.76553	13.57736	-178.88962	1.17714	-86.44065	0.40981	0.06207	0.99786	0.02062	0.99786	-0.06247	0.01930	0.02054	0.01937	-0.99960	
